NAME;TEXT_SHORT;ARTICLE_ID;ORDER_ID;SUPPLIER;PHOTO;SWEIGHT
BL_AT_Hebelpaket_09044523;AVENTOS HL Hochliftklappe, Hebelpaket (Set), KH=300-349 mm, links/rechts, für SERVO-DRIVE;07773321;21L3200.01;Blum;BLUM_21L3200.jpg;1096.1
BL_AT_HS_Einheit_07242042;AVENTOS HS Einheit, KH/Typ: von 350 mm (2-5 kg) bis 525 mm (2,5-4 kg);09016592;20S2A00.05;Blum;BLUM_20S1A00.jpg;524
BL_AT_HS_Einheit_07242102;AVENTOS HS Einheit, KH/Typ: von 350 mm (4,5-9,5 kg) bis 525 mm (3,25-7,5 kg);09016662;20S2B00.05;Blum;BLUM_20S1B00.jpg;524
BL_AT_HS_Einheit_07242392;AVENTOS HS Einheit, KH/Typ: von 350 mm (9,25-10,5 kg) bis 525 mm (7,25-15 kg);09016732;20S2C00.05;Blum;BLUM_20S1C00.jpg;524
BL_AT_HS_Einheit_07242472;AVENTOS HS Einheit, KH/Typ: von 526 mm (3-6,75 kg) bis 675 mm (3-5,25 kg);09016802;20S2D00.05;Blum;BLUM_20S1D00.jpg;524
BL_AT_HS_Einheit_07242552;AVENTOS HS Einheit, KH/Typ: von 526 mm (6,25-13 kg) bis 675 mm (5-11 kg);09016972;20S2E00.05;Blum;BLUM_20S1E00.jpg;524
BL_AT_HS_Einheit_07242632;AVENTOS HS Einheit, KH/Typ: von 526 mm (12-16,5 kg) bis 675 mm (9,75-19 kg);09017032;20S2F00.05;Blum;BLUM_20S1F00.jpg;524
BL_AT_HS_Einheit_07242802;AVENTOS HS Einheit, KH/Typ: von 676 mm (3,5-8 kg) bis 800 mm (4-7 kg);09017102;20S2G00.05;Blum;BLUM_20S1G00.jpg;524
BL_AT_HS_Einheit_07242982;AVENTOS HS Einheit, KH/Typ: von 676 mm (7-13,5 kg) bis 800 mm (6-12,25 kg);09017272;20S2H00.05;Blum;BLUM_20S1H00.jpg;524
BL_AT_Kraftpeicher_07966442;AVENTOS HL Kraftspeicher Hochliftklappe;09015362;20L2900.05;Blum;BLUM_20L2900.jpg;1999
BL_AT_Kraftspeicher_06845392;AVENTOS HF Kraftspeicher für Hochfaltklappen, LF 2600 - 5500 bei 2 Stück;09007682;20F2200.05;Blum;BLUM_20F2200.jpg;28
BL_AT_Kraftspeicher_06845472;AVENTOS HF Kraftspeicher für Hochfaltklappen, LF 5350 - 10150 bei 2 Stück;09007752;20F2500.05;Blum;BLUM_20F2500.jpg;1720
BL_AT_Kraftspeicher_07559082;AVENTOS HK Kraftspeicher Hochklappe, LF 480 - 1500 bei 2 Stück;09390412;20K2300.05;Blum;BLUM_20K2300.jpg;252
BL_AT_Kraftspeicher_07559162;AVENTOS HK Kraftspeicher Hochklappe, LF 750 - 2500 bei 2 Stück;09390582;20K2500.05;Blum;BLUM_20K2500.jpg;2262
BL_AT_Kraftspeicher_07559242;AVENTOS HK Kraftspeicher Hochklappe, LF 1500 - 4900 bei 2 Stück;09390652;20K2700.05;Blum;BLUM_20K2700.jpg;2260
BL_AT_Kraftspeicher_07559302;AVENTOS HK Kraftspeicher Hochklappe, LF 3200 - 9000 bei 2 Stück;09390722;20K2900.05;Blum;BLUM_20K2900.jpg;2278
BL_AT_Kraftspeicher_07966062;AVENTOS HL Kraftspeicher Hochliftklappe;09007992;20L2100.05;Blum;BLUM_20L2100.jpg;230
BL_AT_Kraftspeicher_07966132;AVENTOS HL Kraftspeicher Hochliftklappe;09008052;20L2300.05;Blum;BLUM_20L2300.jpg;1948
BL_AT_Kraftspeicher_07966202;AVENTOS HL Kraftspeicher Hochliftklappe;09008122;20L2500.05;Blum;BLUM_20L2500.jpg;1926
BL_AT_Kraftspeicher_07966372;AVENTOS HL Kraftspeicher Hochliftklappe;09008292;20L2700.05;Blum;BLUM_20L2700.jpg;2038
BL_AT_Kraftspeicher_08617482;AVENTOS HK-S Hochklappe, Kraftspeicher, LF=220-500 (bei 2 Stück);07243521;20K2B00.02;Blum;BLUM_20K2B00.jpg;1002.2
BL_AT_Kraftspeicher_08617552;AVENTOS HK-S Hochklappe, Kraftspeicher, LF=400-1000 (bei 2 Stück);09216091;20K2C00.02;Blum;BLUM_20K2C00.jpg;1062.6
BL_AT_Kraftspeicher_08617622;AVENTOS HK-S Hochklappe, Kraftspeicher, LF=960-2215 (bei 2 Stück);06021751;20K2E00.02;Blum;BLUM_20K2E00.jpg;1087.5
BL_AT_MP_D0_zS_08002803;Montageplatte f. Teleskophebel, 0 mm, Zink, Spax-Schrauben, HV: Exzenter;08002803;175H5400;Blum;BLUM_175H5400.jpg;24
BL_AT_ÖffnungswBegr_08671910;Öffnungswinkelbegrenzer für AVENTOS HK-S 100°;08671910;20K7A41;Blum;BLUM_20K7A41.jpg;0
BL_AT_SD_Abdeckkappe_09025882;Abdeckkappe gross für SERVO-DRIVE für AVENTOS HL;09025882;21L8000;Blum;BLUM_21L8000.jpg;0
BL_AT_SD_Abdeckkappe_09424542;Abdeckkappe gross für SERVO-DRIVE für AVENTOS HK;09424542;21K8000;Blum;BLUM_21K8000.jpg;0
BL_AT_SD_Antrieb_09026180;SERVO-DRIVE für AVENTOS Antriebseinheit;09026180;21FA000;Blum;BLUM_21FA000.jpg;0
BL_AT_SD_Antrieb_09432220;SERVO-DRIVE für AVENTOS Antriebseinheit;09432220;21KA000;Blum;BLUM_21KA000.jpg;0
BL_AT_Teleskophebel_06846283;AVENTOS HF Hochfaltklappe, Teleskophebel (Set), KH=480-570 mm, symmetrisch;05397438;20F3200.01;Blum;BLUM_20F3200.jpg;434.6
